no , jokes 
1,Chuck Norris can milk a bucket with a cow.
2,Optimus Prime owns a Chuck Norris action figure
3,One day a boy seen Chuck Norris do some amazing things. He seen Chuck Norris grow metal claws from his knuckles  Shoot webs from his wrist  Turn green and huge  And have the number 4 on his chest. That boys name is Stan Lee
4,Chuck Norris invented the kangaroo when he ripped the front legs off a dog and threw it all the way to Australia.
5,Chuck Norris can pay his credit card bill with his credit card.
6,Chuck Norris loves the smell of burning human flesh. He also loves the the sound of bones cracking  the sight of Navy SEALs crying  the feel of a good  heavy pump-action in his hands  and the taste of virginity.
7,Chuck Norris invented Nunchucks after he defeated 100 Evil Nuns with two wooden rulers tied together.
8,Chuck Norris did not \\"lose\\" his virginity  he stalked it and then destroyed it with extreme prejudice.
9,DOTA: 1st kill- First Blood 2nd kill- Double Kill 3rd kill- Triple Kill 4th kill- Monster Kill 5th kill- god-like 6th kill- Beyond god-like 7th kill- Chuck Norris-like
10,The Dos Equis man once said  \\"I am the most interesting man in the world.\\" Chuck Norris then said. \\"Do you want fries with this\\"  then bitch slapped him until he cried out for his mommy.
11,Lance Armstrong didnt beat cancer  Chuck Norris did it for him.
12,Everything on Chuck Norris\' properties are powered by a deus ex machina
13,Chuck Norris smokes cigars while scuba-diving.
14,Chuck Norris vomits live doves
15,Every time Chuck Norris goes to New Orleans  hot women bare their breasts for him whether it\'s Mardi Gras or not.
16,Chuck Norris created the All-Spark.
17,Chuck Norris can in fact buy love. But he prefers to spend his cash on beer and ammunition.
18,Chuck Norris can play xbox live on a PS3
19,if the impossible happens and Chuck Norris dies then the world will be covered with darkness
20,Chuck Norris played golf. He tee\'d off. The ball landed in the cup  bounced out  landed in the 2nd cup  then the 3rd... finally stopping in the 18th.
21,Chuck Norris can recharge his chuckPod by plugging it into a piece of cheese.
22,Chuck Norris hates it when his women have multiple orgasms and pass out before he\'s even gotten warmed up.
23,Chuck Norris never forgets an elephant.
24,Eminem Sings about a Tornado meeting a Volcano  However we all know this is what happened when Chuck Norris created god.
25,Chuck Norris knows what\'s eating Gilbert Grape.
26,Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell \\"What The Hell was That?\\".
27,Bruises are caused by Chuck Norris tapping you with his finger.
28,The Icelandic word for \\"Chuck Norris\\" is pronounced \\"google.\\" No joke  google it.
29,If Mohammed wont go to the mountain then Chuck Norris will fucking drag him there.
30,It is impossible for Chuck Norris to rape anyone because everyone enjoys sex with Chuck Norris
31,Achmed the Dead Terrorist says \\"I KILL YOU!\\". Chuck Norris kills you without telling you anything.
32,Chuck Norris gives Red Bull wings
33,When god create Chuck Norris  god not exist anymore
34,Chuck Norris lettered in 14 sports in high school. He would have had won letters in 15 if ass-kicking had been an officially recognized sport.
35,When Chuck Norris plays monopoly he doesn\'t pay to get a property.
36,Chuck Norris can down a shot before he even orders it.
37,Remember the show \\"Who\'s the Boss\\"? Chuck Norris was the boss. Chuck Norris is everyone\'s boss.
38,Chuck Norris REALLY went back to the future.
39,Chuck Norris would never swing from a chandoleer. He would devour it in one jump.
40,Chuck Norris took Katy Perry\'s anal virginity while she was still married to that fruity british guy.
41,If you offend Chuck Norris in any way  he will murder you without a second thought. Or even a first one.
42,Chuck Norris invented the female multiple orgasm.
43,Chuck Norris has sex with whales. It is not that he is into sick animal sex  it is just that the whale is the only animal with the vagina that can accommodate Chuck Norris\' dick.
44,Quantum physicists have found that the only source of energy immense enough to cause subatomic particles to travel backward in time as Neutrino\'s is Chuck Norris\'s roundhouse.
45,J. Wellington Wimpy did pay Chuck Norris back on Tuesday for a hamburger eaten that day.
46,fish gotta to swim and birds gotta fly... but if Chuck Norris tells them to do otherwise... then those fish better start flyin!
47,Chuck Norris beat gravity to the bottom
48,Only God can judge the whole mankind. Only Chuck Norris can judge God
49,Chuck Norris is watching you as you read this joke. If you want it to end quickly  don\'t turn around.
50,Chuck Norris doesn\'t look for religious guidance  religious guidance looks for him
51,Chuck Norris knows how many kicks it takes to get to the center of a Tootsie Pop: one
52,Chuck Norris wrote & owns copyrights of the song  \\"Happy Birthday\\"
53,Chuck Norris is the best in the West. He also has the North  East and South totally covered.
54,Along with his black belt  Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.
55,If anyone says any thing about will weston I will personaly pin them down whilst Chuck Norris an will put their balls in your mouth cos I am the hardest guy in the world!!!! Gary Neville does not sleep.................. he waits. And kills.
56,Chuck Norris once roundhouse house kicked a man for asking him who invented the Roundhouse Kick.
57,Chuck Norris can put you in a coma by slapping you in the face with his dick.
58,Chuck Norris was attacked by a vicious pit bull and it ended up with a trip to the hospital. The Vet at the Animall Hospital said there was a 20% chance the pit bull would pull through.
59,Chuck Norris\' Ipod came with a real charger instead of just a usb cord.
60,Chuck Norris found the end of pie.
61,Chuck Norris tried Professional Wrestling years ago under the name \\"Big Time\\". His opponents immediately re-named him \\"Death Penalty\\".
62,Chuck Norris recently did an audio commentary of one of his best-selling novels.
63,Jesus can walk on water Chuck Norris can swim through land
64,Once in olden times  Chuck Norris roundhouse kicked the ancient King of Canniptia in the face. Then  the remaining old world Canniptions threw a fit. Thank goodness the neighboring ruler of Hissyopia was not also kicked in the face or there would have also been a Hisssy fit to deal with!
65,The earth did not end on December 21 2012. But That is not because the Mayans were wrong  but because Chuck Norris had lunch planned for next week. Nothing gets between Chuck Norris and his lunch!
66,Chuck Norris once woke up one morning thinking he was in the process of strangling a 1 200 pound walrus but then very quickly realized that he was actually masterbating.
67,Submission of Chuck Norris facts is known add inches in males and increased bust size in females.
68,Nominate Chuck Norris for the new Secretary of Defense!
69,Some people like to eat frog legs. Chuck Norris likes to eat lizard legs.
70,Chuck Norris was an only child...eventually.
71,Most people need a lighter when they burn down a forest. Chuck Norris only needs his ass and his lazer vision.
72,Chuck Norris never went to karate class  he was born kicking butt.
73,Nobody knows how many fingers Chuck Norris has on each hand because no one can tell before they die.
74,once Chunk norris got a wireless box and as a result never piss Chuck Norris
75,Chuck Norris\' prostate is used to examine doctor\'s fingers.
76,Chuck Norris KNOWS where Waldo is.
77,Chuck Norris\'s shadow weighs 250 pounds and can kick your ass .
78,You can feel the wind off Chuck Norris\' roundhouse just watching Walker  Texas Ranger.
79,Chuck Norris can\'t tuck his penis between his legs.
80,Chuck Norris can kill a living room
81,Chuck Norris does not use spell check. If he happens to misspell a word  Oxford will simply change the actual spelling of it.
82,Chuck Norris once took his pants off in a Thanksgiving Day parade. All the horses wept. Male and female.
83,in 1974 Chuck Norris was charged with killing 15 students during a school shooting...with a spitball
84,As a one-man band  Chuck Norris can do note-perfect renditions of Slipknot songs.
85,Chuck Norris is unstoppable in all games of Call of Duty
86,Everybody wears Superman pijamas. Superman wears Chuck Norris pijamas.
87,a long time ago Chuck Norris kicked the world so hard that its still spinning today.
88,The term \'fracking\' can also be used to describe Chuck Norris urinating through solid rock.
89,Chuck Norris doesn\'t flush the toilet...He just scares the shit right out of it!
90,Banks don\'t do public holidays but Chuck Norris does
91,Chuck Norris trims his fingernails with a chainsaw.
92,Chuck Norris knows the other fourteen letters of the alphabet.
93,Chuck Norris was born at 6 p.m. By 8 p.m he had killed all his siblings. By 10 p.m he had all his nurses pimped out and made $2000. He waited until noon the next day to pimp out his mom.
94,Chuck Norris is the only person who can write history of the future.
95,Helen Keller screamed Chuck Norris\'s name when she had sex.
96,Some people balance eggs on end every Spring and Fall Equinox  but Chuck Norris balances skulls.
97,In the age of the dinosaurs  \\"comet\\" was the nickname of Chuck Norris.
98,Chuck Norris hates land mines because everytime he steps on one he has to go out buy a new pair of boots.
